roi,neuron_count
ME_L_col_10_28,902
ME_R_col_24_31,902
ME_L_col_22_16,902
ME_R_col_21_32,902
ME_R_col_31_26,901
ME_R_col_12_27,901
ME_L_col_25_17,901
ME_L_col_28_18,901
ME_R_col_12_24,901
ME_R_col_14_05,901
ME_R_col_18_13,901
ME_L_col_22_22,901
ME_R_col_25_18,901
ME_R_col_23_30,901
ME_R_col_16_11,901
ME_L_col_28_27,901
ME_R_col_28_23,900
ME_R_col_23_22,900
ME_R_col_31_22,900
ME_R_col_28_22,900
ME_L_col_14_29,900
ME_R_col_13_05,900
ME_L_col_16_12,900
ME_L_col_18_14,900
ME_R_col_25_31,899
ME_R_col_30_30,899
ME_L_col_16_17,899
ME_L_col_24_20,899
ME_L_col_25_27,899
ME_R_col_14_09,899
ME_L_col_31_31,899
ME_L_col_31_22,899
ME_L_col_17_13,899
ME_R_col_12_25,899
ME_L_col_13_09,899
ME_R_col_17_19,899
ME_L_col_18_20,899
ME_L_col_28_21,899
ME_L_col_20_21,899
ME_R_col_12_11,898
ME_R_col_11_12,898
ME_R_col_13_19,898
ME_L_col_13_13,898
ME_L_col_22_35,897
ME_L_col_23_23,897
ME_R_col_15_10,897
ME_R_col_18_22,897
ME_R_col_16_23,897
ME_R_col_30_27,897
ME_L_col_27_28,897
ME_R_col_26_21,897
ME_L_col_23_16,896
ME_L_col_11_29,896
ME_R_col_22_23,896
ME_L_col_17_12,896
ME_L_col_10_24,896
ME_L_col_23_24,896
ME_R_col_17_25,896
ME_R_col_13_20,896
ME_R_col_18_26,896
ME_L_col_12_12,895
ME_R_col_20_32,895
ME_R_col_12_18,895
ME_L_col_13_11,895
ME_R_col_12_26,895
ME_L_col_27_31,895
ME_R_col_17_07,895
ME_L_col_24_17,895
ME_L_col_09_23,895
ME_R_col_27_23,894
ME_R_col_10_24,894
ME_R_col_10_15,894
ME_L_col_23_17,894
ME_R_col_25_12,894
ME_L_col_26_19,894
ME_L_col_22_20,893
ME_R_col_24_23,893
ME_R_col_11_18,893
ME_L_col_13_14,893
ME_R_col_30_34,893
ME_L_col_26_16,893
ME_L_col_15_15,893
ME_L_col_24_19,893
ME_R_col_14_06,893
ME_R_col_12_16,892
ME_L_col_20_18,892
ME_R_col_13_17,892
ME_L_col_22_10,892
ME_L_col_09_22,892
ME_R_col_10_18,892
ME_R_col_13_25,892
ME_R_col_15_26,892
ME_R_col_17_26,892
ME_R_col_31_21,892
ME_L_col_14_08,892
ME_L_col_25_12,891
ME_R_col_29_25,891
ME_L_col_30_31,891
ME_L_col_22_24,891
ME_L_col_17_17,891
ME_L_col_17_23,891
ME_R_col_26_27,891
ME_L_col_27_23,890
ME_L_col_13_29,890
ME_L_col_21_22,890
ME_R_col_10_14,890
ME_R_col_14_16,890
ME_L_col_15_16,890
ME_L_col_27_26,890
ME_L_col_19_14,890
ME_R_col_29_24,889
ME_R_col_29_28,889
ME_L_col_18_08,889
ME_R_col_28_33,889
ME_R_col_20_24,889
ME_L_col_30_32,889
ME_L_col_16_15,889
ME_L_col_21_21,889
ME_R_col_29_19,889
ME_R_col_20_30,888
ME_R_col_10_09,888
ME_L_col_20_20,888
ME_R_col_19_31,888
ME_L_col_18_22,888
ME_R_col_19_30,888
ME_L_col_26_27,888
ME_R_col_11_24,888
ME_R_col_21_23,888
ME_R_col_18_27,888
ME_L_col_18_10,887
ME_R_col_28_25,887
ME_L_col_13_12,887
ME_L_col_13_15,887
ME_R_col_21_28,887
ME_L_col_15_14,887
ME_L_col_17_08,887
ME_L_col_14_14,887
ME_R_col_10_21,887
ME_R_col_23_33,887
ME_L_col_21_09,887
ME_R_col_12_12,887
ME_R_col_28_32,887
ME_L_col_21_18,887
ME_L_col_28_34,886
ME_R_col_13_11,886
ME_R_col_26_24,886
ME_R_col_18_25,886
ME_R_col_12_07,886
ME_L_col_18_07,885
ME_R_col_12_17,885
ME_L_col_18_21,885
ME_R_col_12_06,885
ME_L_col_22_23,885
ME_R_col_09_09,885
ME_L_col_15_31,885
ME_L_col_21_20,885
ME_L_col_27_18,885
ME_L_col_14_09,885
ME_R_col_26_30,884
ME_L_col_23_18,884
ME_R_col_08_23,884
ME_R_col_12_20,884
ME_R_col_11_10,884
ME_R_col_12_15,884
ME_R_col_12_22,884
ME_L_col_12_28,883
ME_R_col_25_26,883
ME_L_col_16_10,883
ME_L_col_24_10,883
ME_R_col_13_27,883
ME_R_col_26_22,883
ME_R_col_14_28,883
ME_R_col_18_30,883
ME_L_col_29_21,883
ME_R_col_11_06,883
ME_R_col_25_22,883
ME_R_col_22_34,883
ME_R_col_13_18,882
ME_R_col_27_32,882
ME_R_col_22_24,882
ME_L_col_15_09,882
ME_L_col_25_18,882
ME_R_col_13_24,882
ME_R_col_10_16,882
ME_L_col_21_19,882
ME_R_col_12_23,881
ME_L_col_17_09,881
ME_R_col_30_19,881
ME_R_col_25_28,881
ME_R_col_30_29,881
ME_R_col_17_06,881
ME_L_col_15_21,881
ME_R_col_09_14,881
ME_R_col_23_24,881
ME_L_col_24_15,881
ME_R_col_19_07,880
ME_R_col_32_24,880
ME_L_col_19_34,880
ME_L_col_17_32,880
ME_R_col_15_20,880
ME_R_col_30_25,880
ME_R_col_26_14,880
ME_R_col_14_27,880
ME_L_col_09_24,880
ME_R_col_12_19,880
ME_L_col_16_07,880
ME_R_col_25_32,880
ME_L_col_22_21,880
ME_L_col_17_20,880
ME_L_col_19_18,879
ME_R_col_32_26,879
ME_R_col_18_07,879
ME_L_col_12_21,879
ME_R_col_23_25,879
ME_R_col_13_12,879
ME_R_col_11_21,879
ME_R_col_24_11,879
ME_R_col_23_31,879
ME_L_col_24_16,879
ME_L_col_24_22,878
ME_L_col_26_22,878
ME_L_col_25_30,878
ME_R_col_09_13,878
ME_R_col_22_30,877
