type,count
PS209,12
CB2881,12
SLP369,12
PVLP008_c,12
LHPV5a1,12
WED030_a,12
AVLP232,12
SLP187,12
TuBu04,12
LHPV4g1,12
FC1C_a,12
SLP285,12
TPMN2,12
SMP228,12
M_vPNml53,12
LHAD1b5,12
WED143_c,12
GNG428,12
DNg10,12
SLP179_b,12
TuBu02,12
"SApp19,SApp21",12
SAxx02,12
SMP347,12
LHPV5c1,12
LoVP3,12
SMP220,12
PLP046,12
LoVP4,12
LHPV4a5,12
PS038,12
CRE003_b,12
WED103,12
HRN_VP5,12
SMP167,12
PS153,12
CB1824,12
SMP352,12
LHPV5c3,12
AN07B089,12
PAM03,12
AN10B039,12
IN20A.22A001,12
INXXX468,12
Ti extensor MN,12
Sternal anterior rotator MN,12
IN19A016,12
IN08A019,12
IN09A060,12
IN20A.22A008,12
IN06B029,12
IN01A045,12
IN17A028,12
IN20A.22A007,12
INXXX287,12
IN08B054,12
IN17A052,12
INXXX258,12
IN02A033,12
IN01A038,12
IN19A060_d,12
IN16B042,12
IN20A.22A041,12
MNad02,12
INXXX429,12
"IN21A023,IN21A024",12
SNpp17,12
Tergotr. MN,12
IN06B073,12
IN08A028,12
IN09A022,12
IN19A064,12
IN12B025,12
IN16B045,12
MNad13,12
IN09B038,12
IN14A015,12
INXXX431,12
IN03B061,12
IN06B079,12
ltm2-femur MN,12
IN11A021,12
IN20A.22A051,12
IN03B071,12
IN12B030,12
IN08B093,12
IN20A.22A071,12
IN13A051,12
IN07B087,12
SNta14,12
IN21A037,12
IN02A059,12
IN13A062,12
SNpp07,12
IN09A046,12
IN09A092,12
IN13B090,12
SNxx26,12
IN20A.22A077,12
IN11B017_b,12
IN20A.22A028,12
SNta36,12
IN03B055,12
IN20A.22A084,12
SNpp57,12
IN07B102,12
VES022,11
lLN2X12,11
ER4m,11
DNge019,11
LC23,11
CL091,11
PVLP007,11
AOTU059,11
AVLP126,11
Cm24,11
TRN_VP1m,11
SCL001m,11
DL3_lPN,11
CL090_d,11
AVLP743m,11
hDeltaL,11
LPT116,11
SAD200m,11
CB4094,11
AVLP191,11
LHAV6b3,11
LPT101,11
ER3d_d,11
LoVP16,11
AN09A005,11
aSP10B,11
LH008m,11
CB1918,11
PLP150,11
WED056,11
AVLP145,11
LHAD1c2,11
PS208,11
LT81,11
ER1_a,11
LT70,11
CB1638,11
IB054,11
DNpe015,11
SMP427,11
PS072,11
SLP405_b,11
CB1268,11
FLA004m,11
WEDPN8B,11
LHAV7b1,11
CB1923,11
TuBu05,11
GNG454,11
LC10_unclear,11
CB4087,11
LHAV6a3,11
SMP409,11
SLP289,11
CB4082,11
CB4112,11
CB1997,11
AOTU038,11
SLP164,11
LHPV6f1,11
vDeltaJ,11
CB1227,11
SMP723m,11
SLP414,11
LPi3c,11
LB3b,11
CB1357,11
CB4130,11
LHAV5a2_a3,11
SMP281,11
LgAG2,11
SLP268,11
SMP105_a,11
AN10B053,11
LB1a,11
AN10B035,11
AN08B113,11
IN03A073,11
IN03A030,11
IN20A.22A006,11
IN17A061,11
IN03A068,11
IN12B027,11
SNxx11,11
IN14A020,11
IN09A093,11
IN03A075,11
IN04B018,11
IN01A082,11
IN13B022,11
IN23B032,11
IN03A055,11
IN20A.22A012,11
IN03A039,11
Tr extensor MN,11
IN20A.22A058,11
IN06A116,11
IN11B018,11
IN13B078,11
IN07B065,11
IN12A054,11
IN20A.22A060,11
IN12B048,11
IN19A108,11
IN19A059,11
IN00A057,11
IN08A030,11
IN10B044,11
IN19A106,11
IN20A.22A069,11
IN09A079,11
IN14A110,11
IN02A066,11
MeVPMe2,10
WED092,10
AVLP541,10
SAD001,10
AN09B004,10
Li30,10
LC31b,10
PVLP072,10
PLP188,10
CB1805,10
CB1932,10
AMMC020,10
SMP245,10
AMMC026,10
AVLP045,10
FB2I_a,10
PVLP082,10
SAD045,10
SCL002m,10
aSP10A_b,10
TuBu01,10
AMMC035,10
SLP421,10
PVLP123,10
SIP135m,10
PVLP034,10
PVLP214m,10
PS353,10
CB1026,10
WEDPN1A,10
SIP100m,10
CB3417,10
PLP115_a,10
DA2_lPN,10
LHPD2a2,10
SMP408_d,10
mAL_m3c,10
SLP288,10
DNg02_a,10
CB2292,10
CL099,10
SMP025,10
PRW008,10
LC35a,10
CB4103,10
SIP047,10
CRE103,10
SMP317,10
AVLP387,10
WED035,10
CB4077,10
AVLP385,10
WED096,10
CB1094,10
SLP036,10
CL182,10
CB1114,10
WED042,10
CB4243,10
TuBu06,10
AMMC019,10
ANXXX169,10
LoVC24,10
LHAV1d2,10
SLP275,10
LC34,10
LAL048,10
WED001,10
CB4086,10
WED004,10
CB1570,10
CL210_a,10
CB2342,10
WED163,10
SIP053,10
CB2290,10
LHAV2b4,10
LAL150,10
LHPD2c2,10
CB1109,10
DNg12_b,10
LHPV4b4,10
SMP133,10
SLP018,10
CB1322,10
"SLP283,SLP284",10
DNge071,10
PLP158,10
CB2066,10
LoVP27,10
LHPV2e1_a,10
lLN12A,10
SApp04,10
LHAV4g1,10
LHPV6d1,10
CB0743,10
v2LN46,10
CB4100,10
SMP219,10
CB2814,10
CB1333,10
INXXX217,10
CB1339,10
LHAV4b2,10
LoVC27,10
LC46b,10
CB3865,10
LAL110,10
SMP452,10
SLP324,10
AN08B098,10
LHAV5a2_a4,10
GNG410,10
CB4122,10
GNG332,10
SLP267,10
LAL090,10
LAL087,10
SLP295,10
LHPV2b2_a,10
AN07B069_b,10
CB1359,10
IN06B017,10
CB2148,10
AN08B100,10
SLP300,10
CB2074,10
AN12B060,10
dorsal_tpGRN,10
CB4129,10
CB1851,10
PS008_b,10
AN19B101,10
IN23B046,10
IN16B083,10
INXXX396,10
IN23B037,10
IN13B058,10
IN19A073,10
INXXX045,10
INXXX269,10
IN06B063,10
IN03A089,10
IN12B034,10
IN03A031,10
IN07B061,10
IN20A.22A045,10
IN06A102,10
IN06A117,10
SNxx25,10
IN03A051,10
IN03A037,10
IN18B038,10
GFC2,10
IN13A057,10
IN04B036,10
IN04B017,10
IN02A044,10
IN09A055,10
IN01A050,10
IN04B032,10
IN07B075,10
IN03A052,10
IN07B081,10
IN03A059,10
IN01A079,10
SNta06,10
