type,count
IN09A095,8
"IN20A.22A070,IN20A.22A080",8
IN19B075,8
IN04B048,8
IN14A077,8
MNad09,8
IN03A081,8
IN13B065,8
IN16B108,8
IN12B081,8
IN14A109,8
IN23B081,8
IN20A.22A018,8
IN13A049,8
IN06B081,8
IN16B106,8
IN04B105,8
IN01B042,8
"IN14A042, IN14A047",8
IN11B015,8
IN12B058,8
IN02A062,8
IN01A076,8
"SNta25,SNta30",8
IN12B075,8
IN01B084,8
IN06B085,8
IN11B025,8
"SNta27,SNta28",8
IN06A124,8
IN02A047,8
IN08B036,8
IN06A136,8
IN11B019,8
IN01B082,8
IN20A.22A076,8
IN03B074,8
IN19B103,8
"SNta28,SNta44",8
IN02A058,8
IN11B022_c,8
IN03B083,8
IN03B077,8
ANXXX007,7
AN06B039,7
DNge024,7
AN05B068,7
AN12B089,7
LgAG3,7
AN19B059,7
AN10B033,7
AN08B079_a,7
AN07B056,7
AN07B045,7
AN08B061,7
AN10B061,7
IN23B007,7
IN23B020,7
IN13B027,7
IN08B062,7
"IN09A080, IN09A085",7
IN10B030,7
IN08A035,7
IN13B025,7
IN13A036,7
INXXX369,7
IN04B101,7
IN14A038,7
IN04B010,7
IN04B071,7
MNad01,7
IN09A024,7
IN13B045,7
INXXX228,7
IN04B092,7
IN00A063,7
IN13B032,7
IN09A069,7
IN20A.22A038,7
IN19B094,7
IN14A114,7
IN13B093,7
IN11A008,7
IN12B031,7
IN13A028,7
IN03A062_e,7
IN08B008,7
IN03A036,7
IN09A033,7
IN06B043,7
IN14A018,7
SNpp33,7
IN01A054,7
IN14A017,7
IN12B039,7
IN14A028,7
IN06A099,7
"MNad18,MNad27",7
IN06B077,7
IN04B103,7
IN06B086,7
IN21A058,7
IN19A060_c,7
IN17A064,7
IN12B074,7
IN03B080,7
SNpp10,7
IN04B104,7
IN03A065,7
IN01B061,7
IN04B079,7
IN00A056,7
IN06A044,7
IN08B091,7
IN03A093,7
IN01A088,7
SNpp37,7
IN16B121,7
IN08A032,7
IN13A046,7
IN07B080,7
IN13A041,7
INXXX452,7
IN09A005,7
IN19B057,7
IN08A023,7
IN10B038,7
SNpp25,7
IN12B065,7
IN06A110,7
IN20A.22A074,7
IN08A046,7
IN14A074,7
IN09A083,7
IN13A060,7
IN14A105,7
IN01B074,7
IN20A.22A052,7
IN12A064,7
IN14A095,7
IN14A120,7
IN20A.22A091,7
INXXX454,7
IN01B073,7
IN08B070_b,7
IN09A090,7
IN21A093,7
IN06A138,7
SNpp55,7
IN14A056,7
AN10B022,6
AN12B004,6
AN04B003,6
AN01B002,6
AN12B017,6
AN12B019,6
