roi,neuron_count
ME_L_col_21_15,919
ME_R_col_30_21,919
ME_L_col_16_21,919
ME_R_col_28_16,918
ME_R_col_16_07,918
ME_R_col_24_30,918
ME_R_col_20_21,918
ME_L_col_19_19,918
ME_R_col_26_18,918
ME_R_col_15_06,918
ME_L_col_26_18,918
ME_R_col_27_26,918
ME_R_col_14_23,917
ME_R_col_19_10,916
ME_L_col_21_17,916
ME_R_col_21_09,916
ME_L_col_16_09,916
ME_R_col_14_17,916
ME_R_col_17_21,915
ME_R_col_13_08,915
ME_R_col_29_23,915
ME_R_col_29_35,915
ME_L_col_24_21,915
ME_R_col_18_09,914
ME_L_col_25_16,914
ME_L_col_24_12,914
ME_L_col_27_29,914
ME_R_col_15_07,914
ME_R_col_15_11,914
ME_R_col_17_08,913
ME_L_col_21_12,913
ME_L_col_23_22,913
ME_R_col_15_12,913
ME_R_col_20_23,912
ME_L_col_28_17,912
ME_R_col_28_19,912
ME_R_col_14_19,912
ME_R_col_30_28,912
ME_R_col_26_16,912
ME_R_col_14_20,912
ME_L_col_17_19,911
ME_L_col_23_20,911
ME_R_col_30_26,911
ME_R_col_25_13,910
ME_L_col_25_21,910
ME_R_col_14_24,910
ME_R_col_27_16,910
ME_R_col_15_23,909
ME_R_col_19_24,909
ME_R_col_13_13,909
ME_R_col_13_07,909
ME_R_col_14_11,909
ME_R_col_16_25,909
ME_R_col_30_23,909
ME_R_col_25_21,909
ME_R_col_14_08,908
ME_R_col_12_21,908
ME_R_col_14_18,908
ME_L_col_16_08,908
ME_R_col_17_20,908
ME_L_col_19_21,908
ME_L_col_14_13,908
ME_R_col_25_33,908
ME_R_col_09_24,908
ME_L_col_30_20,908
ME_R_col_16_10,907
ME_R_col_29_32,907
ME_R_col_28_18,907
ME_L_col_17_07,907
ME_L_col_23_12,907
ME_L_col_19_17,907
ME_R_col_11_27,907
ME_R_col_18_08,907
ME_R_col_16_31,907
ME_L_col_11_25,906
ME_R_col_19_11,906
ME_R_col_17_17,906
ME_R_col_15_13,906
ME_R_col_30_20,906
ME_R_col_15_19,906
ME_R_col_29_31,906
ME_R_col_15_22,906
ME_R_col_15_27,906
ME_R_col_13_16,906
ME_L_col_25_13,906
ME_R_col_12_09,906
ME_R_col_25_34,906
ME_L_col_30_22,905
ME_R_col_16_08,905
ME_R_col_27_24,905
ME_R_col_16_06,905
ME_R_col_27_34,905
ME_L_col_12_29,905
ME_R_col_31_30,905
ME_R_col_11_25,905
ME_R_col_15_30,904
ME_L_col_24_18,904
ME_R_col_16_27,904
ME_R_col_14_13,904
ME_R_col_28_21,903
ME_R_col_19_26,903
ME_L_col_18_09,903
ME_R_col_15_16,903
ME_L_col_20_16,903
ME_L_col_17_14,903
ME_R_col_29_21,902
ME_L_col_31_24,902
ME_R_col_14_21,902
ME_R_col_22_31,902
ME_R_col_21_31,902
ME_L_col_10_25,902
ME_R_col_24_31,902
ME_R_col_14_22,902
ME_R_col_14_12,902
ME_R_col_28_35,901
ME_L_col_22_16,901
ME_R_col_14_05,901
ME_R_col_15_25,901
ME_R_col_25_23,900
ME_L_col_26_25,900
ME_R_col_21_32,900
ME_L_col_22_22,900
ME_R_col_25_18,900
ME_R_col_25_25,900
ME_R_col_13_05,900
ME_L_col_14_18,900
ME_L_col_28_27,900
ME_L_col_28_18,900
ME_R_col_31_26,900
ME_L_col_20_21,899
ME_R_col_23_22,899
ME_R_col_17_19,899
ME_R_col_23_30,899
ME_L_col_25_17,899
ME_L_col_18_14,899
ME_R_col_16_11,899
ME_L_col_17_13,899
ME_L_col_16_12,899
ME_L_col_13_09,898
ME_L_col_28_21,898
ME_L_col_31_31,898
ME_L_col_31_22,898
ME_R_col_12_24,898
ME_L_col_24_20,898
ME_L_col_14_29,898
ME_R_col_25_31,898
ME_R_col_31_22,898
ME_L_col_13_13,898
ME_L_col_10_28,898
ME_L_col_16_17,898
ME_R_col_28_22,898
ME_R_col_12_25,898
ME_L_col_18_20,898
ME_R_col_11_12,897
ME_L_col_25_27,897
ME_R_col_14_09,897
ME_R_col_13_19,897
ME_R_col_12_27,897
ME_R_col_12_11,897
ME_L_col_23_23,897
ME_R_col_15_10,897
ME_R_col_28_23,897
ME_R_col_18_13,897
ME_R_col_26_21,896
ME_R_col_30_30,896
ME_R_col_16_23,896
ME_L_col_27_28,896
ME_L_col_22_35,895
ME_L_col_23_24,895
ME_R_col_18_22,895
ME_R_col_17_25,895
ME_R_col_30_27,895
ME_L_col_13_11,895
ME_R_col_18_26,895
ME_L_col_23_16,894
ME_L_col_27_31,894
ME_R_col_17_07,894
ME_L_col_17_12,894
ME_L_col_12_12,894
ME_R_col_22_23,894
ME_R_col_25_12,894
ME_L_col_24_17,893
ME_R_col_13_20,893
ME_L_col_11_29,893
ME_R_col_10_24,893
ME_L_col_26_19,893
ME_R_col_10_15,893
CAN(R),893
ME_R_col_14_06,893
ME_R_col_12_18,893
ME_R_col_20_32,893
ME_L_col_22_20,893
ME_L_col_15_15,892
ME_L_col_10_24,892
ME_R_col_27_23,892
ME_R_col_12_26,892
ME_L_col_26_16,892
ME_L_col_13_14,892
ME_L_col_17_17,891
ME_L_col_23_17,891
ME_L_col_09_23,891
ME_L_col_17_23,891
ME_L_col_30_31,891
ME_R_col_30_34,891
ME_R_col_11_18,891
ME_R_col_24_23,891
ME_L_col_14_08,891
ME_R_col_12_16,891
ME_R_col_31_21,890
ME_R_col_13_17,890
ME_L_col_25_12,890
ME_L_col_21_22,890
ME_L_col_22_24,890
ME_L_col_20_18,890
ME_R_col_17_26,890
ME_L_col_24_19,890
ME_R_col_29_25,890
ME_L_col_22_10,890
ME_R_col_15_26,890
ME_L_col_15_16,889
ME_R_col_10_14,889
ME_R_col_10_18,889
ME_L_col_27_23,889
ME_R_col_28_33,889
ME_L_col_09_22,889
ME_R_col_13_25,888
ME_L_col_19_14,888
ME_R_col_26_27,888
ME_R_col_29_19,888
ME_L_col_21_21,888
ME_R_col_20_24,888
ME_L_col_27_26,888
ME_L_col_18_22,888
ME_L_col_30_32,888
ME_L_col_16_15,888
ME_R_col_28_32,887
ME_R_col_14_16,887
ME_R_col_19_31,887
ME_L_col_18_08,887
ME_R_col_29_24,887
ME_R_col_29_28,887
ME_R_col_18_27,887
ME_R_col_20_30,887
ME_R_col_12_12,887
ME_R_col_10_09,887
ME_R_col_11_24,887
ME_L_col_13_29,887
ME_L_col_13_15,887
ME_R_col_19_30,887
ME_L_col_14_14,886
ME_L_col_26_27,886
